role_id,field_group,field_path,source_id,evidence_label,source_scope,source_version
cityrole-0001,B_question,questionnaire_answers.B02,A_NBS_FAMILY,family_structure,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B02,EB_V45,family_structure,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B04,NBS_TIME_USE_2024,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B04,EB_V45,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B04,EXPERIMENTAL_TYPICAL_DAY,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B05,CHNS_2015_LOCAL,CHNS_local_template_plus_experimental_other_devices,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B05,NBS_2023_APPLIANCE,CHNS_local_template_plus_experimental_other_devices,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B05,ZJ_2024_APPLIANCE,CHNS_local_template_plus_experimental_other_devices,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B05,EB_V45,CHNS_local_template_plus_experimental_other_devices,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.B05,EXPERIMENTAL_DEVICE_COVERAGE,CHNS_local_template_plus_experimental_other_devices,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_EVENING,NBS_TIME_USE_2024,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_EVENING,EB_V45,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_EVENING,EXPERIMENTAL_TYPICAL_DAY,derived_synthetic_member_routines,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_REGULARITY,NBS_TIME_USE_2024,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_REGULARITY,EB_V45,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_REGULARITY,EXPERIMENTAL_TYPICAL_DAY,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_LATE_USE,NBS_TIME_USE_2024,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_LATE_USE,EB_V45,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.F_LATE_USE,EXPERIMENTAL_TYPICAL_DAY,experimental_profile,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
cityrole-0001,B_question,questionnaire_answers.M_MEMBERS,A_NBS_FAMILY,age_compatible_synthetic_member_routines_and_preferences,question_value_and_construct_not_population_weight,7dbd4e5c87cc440de9f23a5042d83a809bd1cfea9d422245d228816146daaa69
